dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Railways,legacy,noise_50pct_1p4tau,1,0.8860912478088324,0.0,0.861328125,0.0,0.138671875,0.0,51.244140625,0.1280807500006631
Railways,legacy,object_delete_30pct,1,1.0,0.0,1.0,0.0,0.0,0.0,37.0126953125,0.09829283400904387
Railways,legacy,object_delete_90pct,1,0.9454619308661563,0.0,0.9326171875,0.0,0.0673828125,0.0,5.9306640625,0.016262417018879205
Railways,legacy,reverse_objects,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.14173124998342246
Railways,legacy,reverse_vertices,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.1316298749879934
Railways,legacy,rotation_135,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13489624997600913
Railways,legacy,rotation_180,1,1.0,0.0,1.0,0.0,0.0,0.0,51.2431640625,0.13026645797071978
Railways,legacy,rotation_225,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.1294839580077678
Railways,legacy,rotation_270,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.12475845799781382
Railways,legacy,rotation_315,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13296449999324977
Railways,legacy,rotation_45,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13447829202050343
Railways,legacy,rotation_90,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13009729096665978
Railways,legacy,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,51.2421875,0.12886462500318885
Railways,legacy,translation_10,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.1273342499625869
Railways,legacy,vertex_add_10pct,1,0.9992072927806908,0.0,0.9990234375,0.0,0.0009765625,0.0,55.828125,0.14186458301264793
Railways,legacy,vertex_add_30pct,1,0.9976174711631861,0.0,0.9970703125,0.0,0.0029296875,0.0,65.0322265625,0.15720658400096
