dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Boundary,audited,object_delete_30pct,4,0.9920521281322651,0.990234375,0.009765625,0.15210866695269942,90123,0,61,88.0,88.0107421875,119,3,embed_pca_key,0.5278760999937778,90244
Boundary,audited,object_delete_90pct,4,0.8816504763305839,0.8564453125,0.1435546875,0.02807512501021847,15669,0,4,15.0,15.3017578125,31,45,embed_pca_key,0.5662513074394265,15700
Boundary,audited,vertex_add_10pct,4,0.9928429230989141,0.9912109375,0.0087890625,0.2276653329608962,136226,0,95,133.0,133.033203125,176,3,embed_pca_key,0.5112729623184291,136375
Boundary,audited,vertex_add_30pct,4,0.9729348702652099,0.966796875,0.033203125,0.3018744589644484,160681,0,120,157.0,156.9150390625,223,5,embed_pca_key,0.5118498151787861,160816
Boundary,audited,vertex_add_50pct,4,0.9096559617730839,0.8916015625,0.1083984375,0.3713641669601202,185361,0,141,181.0,181.0166015625,278,16,embed_pca_key,0.5117894451086983,185478
Boundary,audited,noise_10pct_0p6tau_m,4,0.9944340175269573,0.9931640625,0.0068359375,0.19881854200502858,123807,0,85,121.0,120.9052734375,169,3,embed_pca_key,0.511543210875917,123933
Boundary,audited,noise_50pct_1p4tau_m,4,0.7982060523080894,0.76171875,0.23828125,0.22679254098329693,123881,0,91,121.0,120.9775390625,156,20,embed_pca_key,0.5115432143355539,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,4,0.8326156262008774,0.796875,0.203125,0.18943295802455395,123887,0,90,121.0,120.9833984375,156,31,embed_pca_key,0.45614393275666104,123933
Boundary,audited,compound_metric,4,0.8225816716237682,0.7861328125,0.2138671875,0.11326341598760337,59535,0,35,58.0,58.1396484375,86,38,embed_pca_key,0.4951346156100708,59598
Boundary,audited,vertex_delete_30pct,5,0.9720152795189112,0.9658203125,0.0341796875,0.15023683296749368,86900,0,59,84.0,84.86328125,118,11,embed_pca_key,0.514204212649459,87053
Boundary,audited,vertex_delete_50pct,5,0.8865926413116155,0.86328125,0.13671875,0.10655804199632257,62277,0,37,60.0,60.8173828125,96,28,embed_pca_key,0.515069673160895,62430
Boundary,audited,object_delete_30pct,5,0.9960289083110154,0.9951171875,0.0048828125,0.14597437501652166,82613,0,54,80.0,80.6767578125,119,5,embed_pca_key,0.4925040962000704,82720
Boundary,audited,object_delete_90pct,5,0.8779725763863457,0.849609375,0.150390625,0.04742366698337719,13213,0,2,12.5,12.9033203125,35,73,embed_pca_key,0.5787708284015022,13227
Boundary,audited,vertex_add_10pct,5,0.9976212494588167,0.9970703125,0.0029296875,0.23932879196945578,136051,0,95,132.0,132.8623046875,181,3,embed_pca_key,0.5106118919287821,136197
Boundary,audited,vertex_add_30pct,5,0.9712658346160282,0.96484375,0.03515625,0.23872475000098348,160878,0,120,157.0,157.107421875,215,10,embed_pca_key,0.5105163925248608,161011
Boundary,audited,vertex_add_50pct,5,0.9116000515867972,0.8935546875,0.1064453125,0.30046383396256715,185663,0,142,181.0,181.3115234375,302,16,embed_pca_key,0.5124632426135614,185776
Boundary,audited,noise_10pct_0p6tau_m,5,0.9928517826066742,0.9912109375,0.0087890625,0.18534658302087337,123820,0,90,121.0,120.91796875,160,1,embed_pca_key,0.5115432097848011,123933
Boundary,audited,noise_50pct_1p4tau_m,5,0.8093229055736002,0.7705078125,0.2294921875,0.22132316598435864,123895,0,83,120.0,120.9912109375,160,33,embed_pca_key,0.5115432133861765,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,5,0.7998659078259269,0.76171875,0.23828125,0.2694727909984067,123903,0,92,121.0,120.9990234375,159,29,embed_pca_key,0.4605315207673964,123933
Boundary,audited,compound_metric,5,0.8222511467423871,0.787109375,0.212890625,0.11249120900174603,65665,0,35,64.0,64.1259765625,93,32,embed_pca_key,0.5036960731422017,65737
Boundary,audited,vertex_delete_30pct,6,0.9712658346160282,0.96484375,0.03515625,0.15566445898730308,86871,0,55,85.0,84.8349609375,115,12,embed_pca_key,0.5140095429213575,87024
Boundary,audited,vertex_delete_50pct,6,0.8974874055997483,0.8759765625,0.1240234375,0.10686216701287776,62309,0,38,61.0,60.8486328125,94,18,embed_pca_key,0.516595504774567,62462
Boundary,audited,object_delete_30pct,6,0.9968316796877463,0.99609375,0.00390625,0.16178487497381866,95658,0,66,93.0,93.416015625,144,2,embed_pca_key,0.4876891771337587,95765
Boundary,audited,object_delete_90pct,6,0.8825145231839787,0.853515625,0.146484375,0.01828225003555417,10286,0,2,10.0,10.044921875,21,90,embed_pca_key,0.40632163610731376,10297
Boundary,audited,vertex_add_10pct,6,0.9976212494588167,0.9970703125,0.0029296875,0.27110454195644706,136157,0,99,132.0,132.9658203125,175,1,embed_pca_key,0.5110086852522441,136303
Boundary,audited,vertex_add_30pct,6,0.9672512504353258,0.9599609375,0.0400390625,0.24911220802459866,160951,0,118,156.5,157.1787109375,208,5,embed_pca_key,0.5117314195787395,161088
Boundary,audited,vertex_add_50pct,6,0.9199051266869852,0.9013671875,0.0986328125,0.3417620000545867,185404,0,134,180.0,181.05859375,262,9,embed_pca_key,0.5119200222385842,185523
Boundary,audited,noise_10pct_0p6tau_m,6,0.9928517826066742,0.9912109375,0.0087890625,0.19219904200872406,123805,0,88,121.0,120.9033203125,164,2,embed_pca_key,0.511543211288865,123933
Boundary,audited,noise_50pct_1p4tau_m,6,0.8113866102020205,0.775390625,0.224609375,0.2149147919844836,123901,0,92,120.0,120.9970703125,157,27,embed_pca_key,0.5115432056732241,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,6,0.8061828299460878,0.767578125,0.232421875,0.19736858300166205,123895,0,85,121.0,120.9912109375,168,29,embed_pca_key,0.45604223303978986,123933
Boundary,audited,compound_metric,6,0.8271552291285246,0.79296875,0.20703125,0.12539175001438707,66716,0,41,65.0,65.15234375,94,34,embed_pca_key,0.5627452172616563,66790
Boundary,audited,vertex_delete_30pct,7,0.9720822085732869,0.9658203125,0.0341796875,0.1544328749878332,86901,0,55,85.0,84.8642578125,124,9,embed_pca_key,0.5125885736971447,87054
Boundary,audited,vertex_delete_50pct,7,0.8901593228825458,0.8681640625,0.1318359375,0.10664366697892547,62493,0,34,61.0,61.0283203125,87,34,embed_pca_key,0.5130069145528117,62646
Boundary,audited,object_delete_30pct,7,0.9976174711631861,0.9970703125,0.0029296875,0.15805012499913573,89642,0,56,87.0,87.541015625,120,2,embed_pca_key,0.41795920923095414,89749
Boundary,audited,object_delete_90pct,7,0.8680460783796381,0.83984375,0.16015625,0.02176270796917379,11654,0,2,11.0,11.380859375,24,82,embed_pca_key,0.4805618955727176,11660
Boundary,audited,vertex_add_10pct,7,0.9944403454588447,0.9931640625,0.0068359375,0.23670279199723154,135937,0,96,132.5,132.7509765625,181,1,embed_pca_key,0.5120672170081905,136083
Boundary,audited,vertex_add_30pct,7,0.9768438248198084,0.9716796875,0.0283203125,0.33839241694658995,160866,0,117,157.0,157.095703125,204,6,embed_pca_key,0.5117406097714142,160997
Boundary,audited,vertex_add_50pct,7,0.8976269238408823,0.8759765625,0.1240234375,0.3207020830013789,185451,0,145,181.0,181.1044921875,271,12,embed_pca_key,0.5109987976988206,185569
Boundary,audited,noise_10pct_0p6tau_m,7,0.9928517826066742,0.9912109375,0.0087890625,0.19803854200290516,123806,0,89,121.0,120.904296875,165,2,embed_pca_key,0.5115432114637106,123933
Boundary,audited,noise_50pct_1p4tau_m,7,0.8207759485351506,0.787109375,0.212890625,0.20372495899209753,123899,0,85,121.0,120.9951171875,161,24,embed_pca_key,0.5115432151421895,123933
